,Model,Dataset,AUROC,Accuracy,Train time,Inference time,Trainable params,Shuffling
15,Glacier,BSNIP ICA,0.810359964881475,0.711864406779661,11637.24612569809,0.11252356989909026,869891,None
16,Glacier,BSNIP ICA,0.7600234123500147,0.576271186440678,7541.074695587158,0.1173706418376858,869891,None
17,Glacier,BSNIP ICA,0.8135791630084871,0.7288135593220338,11946.278150081636,0.11783542875516212,869891,None
18,Glacier,BSNIP ICA,0.8039215686274509,0.7203389830508474,13603.066618442535,0.118904317839671,869891,None
19,Glacier,BSNIP ICA,0.8121158911325725,0.7711864406779662,12462.374652147291,0.11502255423594328,869891,None
20,Glacier,BSNIP ICA,0.7023529411764706,0.652542372881356,8820.929708242416,0.11245266461776476,869891,None
21,Glacier,BSNIP ICA,0.8049999999999999,0.7372881355932204,10973.171165943146,0.1178760589179346,869891,None
22,Glacier,BSNIP ICA,0.7947058823529412,0.7372881355932204,10119.205533504486,0.10542191489268156,869891,None
23,Glacier,BSNIP ICA,0.7785294117647059,0.7288135593220338,14008.905835390093,0.10880672931671144,869891,None
24,Glacier,BSNIP ICA,0.7702941176470588,0.6694915254237288,9695.820320606232,0.10185380305274058,869891,None
25,Glacier,BSNIP ICA,0.803235294117647,0.6949152542372882,11204.871594429016,0.1013188059047117,869891,None
26,Glacier,BSNIP ICA,0.74,0.652542372881356,9704.91213130951,0.10165965961197676,869891,None
27,Glacier,BSNIP ICA,0.7779411764705882,0.6694915254237288,7764.027599811554,0.10103440486778648,869891,None
28,Glacier,BSNIP ICA,0.7570588235294118,0.6271186440677966,7895.378343582153,0.1014144279189029,869891,None
29,Glacier,BSNIP ICA,0.7873529411764707,0.7542372881355932,9276.433126926422,0.10183140584978008,869891,None
30,Glacier,BSNIP ICA,0.7247058823529412,0.711864406779661,10657.890468358994,0.10160802178463692,869891,None
31,Glacier,BSNIP ICA,0.7273529411764706,0.7033898305084746,8597.100444078445,0.10206040487451068,869891,None
32,Glacier,BSNIP ICA,0.7247058823529412,0.7033898305084746,11029.510669469832,0.1010427474975586,869891,None
33,Glacier,BSNIP ICA,0.7223529411764706,0.6271186440677966,7467.56526517868,0.10448280431456484,869891,None
34,Glacier,BSNIP ICA,0.7444117647058824,0.6610169491525424,14926.168370723724,0.10281883660009351,869891,None
35,Glacier,BSNIP ICA,0.7579411764705882,0.6779661016949152,10205.046206474304,0.10474334732960848,869891,None
36,Glacier,BSNIP ICA,0.7588235294117648,0.7033898305084746,9175.437660455704,0.1032822455390025,869891,None
37,Glacier,BSNIP ICA,0.7638235294117648,0.6440677966101694,8025.669190406799,0.10387911432880466,869891,None
38,Glacier,BSNIP ICA,0.7576470588235293,0.6186440677966102,7579.594252109528,0.10264610233953445,869891,None
39,Glacier,BSNIP ICA,0.6770588235294117,0.6271186440677966,12193.704419374466,0.10290185071654238,869891,None
40,Glacier,BSNIP ICA,0.7976470588235295,0.7203389830508474,8918.21153664589,0.10380598650140276,869891,None
41,Glacier,BSNIP ICA,0.7841176470588235,0.6271186440677966,6765.405731916428,0.10516516434944284,869891,None
42,Glacier,BSNIP ICA,0.8244117647058824,0.6864406779661016,8937.678127765656,0.10382099878990043,869891,None
43,Glacier,BSNIP ICA,0.8276470588235294,0.7288135593220338,9221.41859292984,0.10514022334147308,869891,None
44,Glacier,BSNIP ICA,0.7038235294117647,0.5847457627118644,6753.28767824173,0.10490337064710714,869891,None
45,Glacier,BSNIP ICA,0.8438235294117648,0.7627118644067796,11382.22016119957,0.1056986824940827,869891,None
46,Glacier,BSNIP ICA,0.8297058823529412,0.7627118644067796,9498.451241493223,0.10327095702543096,869891,None
47,Glacier,BSNIP ICA,0.8411764705882354,0.7627118644067796,9279.29336309433,0.10492591332581085,869891,None
48,Glacier,BSNIP ICA,0.7920588235294117,0.6440677966101694,6988.524943828583,0.1026475166870376,869891,None
49,Glacier,BSNIP ICA,0.7994117647058824,0.7711864406779662,12245.978233337402,0.10314378495943748,869891,None
0,Glacier,COBRE ICA,0.6196581196581197,0.5806451612903226,11.095057725906372,0.0004641394461354902,865571,None
1,Glacier,COBRE ICA,0.6538461538461539,0.6451612903225806,10.610454320907593,0.0004620090607673891,865571,None
2,Glacier,COBRE ICA,0.6623931623931624,0.6129032258064516,11.99779987335205,0.0004542258477980091,865571,None
3,Glacier,COBRE ICA,0.5726495726495726,0.5161290322580645,13.341724157333374,0.0004547411395657447,865571,None
4,Glacier,COBRE ICA,0.6965811965811965,0.6129032258064516,23.316944122314453,0.0004554410134592364,865571,None
5,Glacier,COBRE ICA,0.5555555555555556,0.5806451612903226,13.016379594802856,0.0004555871409754599,865571,None
6,Glacier,COBRE ICA,0.5256410256410255,0.5806451612903226,10.741745710372925,0.00046017862135364166,865571,None
7,Glacier,COBRE ICA,0.6153846153846154,0.5806451612903226,15.677650451660156,0.0004722533687468498,865571,None
8,Glacier,COBRE ICA,0.7264957264957265,0.5806451612903226,12.587652683258057,0.0004548641943162487,865571,None
9,Glacier,COBRE ICA,0.670940170940171,0.5806451612903226,12.362832307815552,0.0004628396803332913,865571,None
10,Glacier,COBRE ICA,0.7179487179487178,0.6129032258064516,14.29183030128479,0.00046218595197123865,865571,None
11,Glacier,COBRE ICA,0.7435897435897436,0.7096774193548387,12.208431959152222,0.00045714070720057336,865571,None
12,Glacier,COBRE ICA,0.6495726495726495,0.5806451612903226,10.82129693031311,0.0004637318272744456,865571,None
13,Glacier,COBRE ICA,0.6025641025641026,0.5161290322580645,13.655895471572876,0.000459724856961158,865571,None
14,Glacier,COBRE ICA,0.6623931623931624,0.7096774193548387,12.698810815811155,0.0004572637619510774,865571,None
15,Glacier,COBRE ICA,0.7863247863247863,0.5806451612903226,9.920617818832396,0.0004533183190130418,865571,None
16,Glacier,COBRE ICA,0.7692307692307692,0.5806451612903226,11.319600820541382,0.00045589477785172,865571,None
17,Glacier,COBRE ICA,0.7094017094017094,0.4838709677419355,10.834459781646729,0.00047008452876921625,865571,None
18,Glacier,COBRE ICA,0.7948717948717948,0.5806451612903226,10.394464254379272,0.0004662083041283392,865571,None
19,Glacier,COBRE ICA,0.7948717948717948,0.6129032258064516,11.276380777359009,0.00046323191735052295,865571,None
20,Glacier,COBRE ICA,0.7058823529411764,0.6451612903225806,11.756460428237917,0.00046750037900863153,865571,None
21,Glacier,COBRE ICA,0.6764705882352942,0.5483870967741935,12.249565362930298,0.0004723918053411668,865571,None
22,Glacier,COBRE ICA,0.6596638655462185,0.5161290322580645,10.828801155090332,0.00046975381912723663,865571,None
23,Glacier,COBRE ICA,0.7016806722689075,0.6774193548387096,19.40283489227295,0.0004591711105838899,865571,None
24,Glacier,COBRE ICA,0.6554621848739497,0.5483870967741935,11.918399095535278,0.0004612476594986454,865571,None
25,Glacier,COBRE ICA,0.6428571428571429,0.5483870967741935,12.24846339225769,0.0004702152744416268,865571,None
26,Glacier,COBRE ICA,0.7184873949579832,0.5483870967741935,11.426624298095703,0.0004605247128394342,865571,None
27,Glacier,COBRE ICA,0.7184873949579832,0.5483870967741935,11.582748889923096,0.0004613630233272429,865571,None
28,Glacier,COBRE ICA,0.7521008403361344,0.7096774193548387,12.018259286880491,0.0004528568636986518,865571,None
29,Glacier,COBRE ICA,0.6470588235294117,0.5483870967741935,10.75798511505127,0.0004635626269925025,865571,None
30,Glacier,COBRE ICA,0.8214285714285714,0.65625,12.582601308822632,0.0004650875926017761,865571,None
31,Glacier,COBRE ICA,0.5714285714285714,0.5625,20.694506883621216,0.0004570409655570984,865571,None
32,Glacier,COBRE ICA,0.6825396825396826,0.5625,12.345298290252686,0.0004661679267883301,865571,None
33,Glacier,COBRE ICA,0.7301587301587302,0.65625,12.937705039978027,0.0004586130380630493,865571,None
34,Glacier,COBRE ICA,0.8531746031746033,0.5625,11.837619066238403,0.0004590079188346863,865571,None
35,Glacier,COBRE ICA,0.5396825396825397,0.46875,17.311458110809326,0.0004575103521347046,865571,None
36,Glacier,COBRE ICA,0.7380952380952381,0.65625,12.142552614212036,0.00045830756425857544,865571,None
37,Glacier,COBRE ICA,0.7460317460317462,0.71875,12.154020071029665,0.000461772084236145,865571,None
38,Glacier,COBRE ICA,0.746031746031746,0.5625,10.485439777374268,0.00045546889305114746,865571,None
39,Glacier,COBRE ICA,0.8174603174603176,0.5625,12.371215105056764,0.000463239848613739,865571,None
40,Glacier,COBRE ICA,0.5793650793650794,0.53125,12.101210355758669,0.0004679411649703979,865571,None
41,Glacier,COBRE ICA,0.5952380952380952,0.5625,12.900950908660889,0.00046559423208236694,865571,None
42,Glacier,COBRE ICA,0.5992063492063492,0.5625,10.88074827194214,0.0004601404070854187,865571,None
43,Glacier,COBRE ICA,0.6269841269841271,0.59375,11.43977689743042,0.0004652738571166992,865571,None
44,Glacier,COBRE ICA,0.7023809523809523,0.65625,11.914994239807127,0.0004601404070854187,865571,None
45,Glacier,COBRE ICA,0.6031746031746031,0.5625,11.013185262680054,0.00046797841787338257,865571,None
46,Glacier,COBRE ICA,0.6785714285714286,0.65625,14.339765071868896,0.0004686415195465088,865571,None
47,Glacier,COBRE ICA,0.5714285714285714,0.53125,11.093565940856934,0.0004711002111434937,865571,None
48,Glacier,COBRE ICA,0.5714285714285714,0.53125,14.16851568222046,0.0004639849066734314,865571,None
49,Glacier,COBRE ICA,0.6309523809523809,0.5625,13.34095549583435,0.00046335160732269287,865571,None
0,Glacier,ABIDE ICA,0.7142472394290331,0.6589595375722543,89.93056583404541,0.0009417464967407932,873011,None
1,Glacier,ABIDE ICA,0.6975491516294102,0.6184971098265896,72.74586415290833,0.0009352209940122042,873011,None
2,Glacier,ABIDE ICA,0.7410449771074601,0.6705202312138728,68.17879605293274,0.0009379800344478188,873011,None
3,Glacier,ABIDE ICA,0.7225962833288446,0.6473988439306358,83.71017575263977,0.0009360203164161284,873011,None
4,Glacier,ABIDE ICA,0.7317532992189604,0.653179190751445,72.89295315742493,0.0009294286628679044,873011,None
5,Glacier,ABIDE ICA,0.7290600592512793,0.6705202312138728,88.48440647125244,0.0009514017601233686,873011,None
6,Glacier,ABIDE ICA,0.6918933476972798,0.6647398843930635,75.98129153251648,0.0009512060639486148,873011,None
7,Glacier,ABIDE ICA,0.5,0.5433526011560693,196.6402337551117,0.0009331744530297428,873011,None
8,Glacier,ABIDE ICA,0.6494748182063022,0.6127167630057804,80.57057309150696,0.0009468070344428796,873011,None
9,Glacier,ABIDE ICA,0.711553999461352,0.6705202312138728,81.16496920585632,0.0009540739776082122,873011,None
10,Glacier,ABIDE ICA,0.7800133244503664,0.6609195402298851,82.79369068145752,0.0009292542249306864,873011,None
11,Glacier,ABIDE ICA,0.7641572285143238,0.5862068965517241,71.31674003601074,0.0009296968065459152,873011,None
12,Glacier,ABIDE ICA,0.7893404397068621,0.735632183908046,83.74694347381592,0.0009568833756720882,873011,None
13,Glacier,ABIDE ICA,0.7938707528314457,0.6954022988505747,77.22029638290405,0.000947764550132313,873011,None
14,Glacier,ABIDE ICA,0.7157894736842105,0.5747126436781609,64.95908236503601,0.0009327811756353269,873011,None
15,Glacier,ABIDE ICA,0.7857428381079282,0.6551724137931034,85.15683221817017,0.0009461737227165837,873011,None
16,Glacier,ABIDE ICA,0.7223184543637574,0.6666666666666666,83.58762669563293,0.0009333018598885372,873011,None
17,Glacier,ABIDE ICA,0.6515656229180546,0.6091954022988506,71.548593044281,0.0009470835499379828,873011,None
18,Glacier,ABIDE ICA,0.650499666888741,0.5977011494252874,81.96548819541931,0.0009444458731289568,873011,None
19,Glacier,ABIDE ICA,0.6891405729513658,0.5459770114942529,64.90775275230408,0.0009502076554572444,873011,None
20,Glacier,ABIDE ICA,0.6724734042553191,0.6436781609195402,86.61517286300659,0.000941106642799816,873011,None
21,Glacier,ABIDE ICA,0.7190159574468085,0.6551724137931034,85.59198021888733,0.0009380537888099408,873011,None
22,Glacier,ABIDE ICA,0.6892287234042553,0.5919540229885057,95.77182602882384,0.0009411532303382612,873011,None
23,Glacier,ABIDE ICA,0.7075797872340427,0.6264367816091954,67.83273506164551,0.0009419301460529197,873011,None
24,Glacier,ABIDE ICA,0.6900265957446808,0.5804597701149425,80.18128824234009,0.0009499596453261102,873011,None
25,Glacier,ABIDE ICA,0.698936170212766,0.6379310344827587,66.34898138046265,0.0009481523228787828,873011,None
26,Glacier,ABIDE ICA,0.6956117021276595,0.632183908045977,123.43164443969728,0.0009395021131668968,873011,None
27,Glacier,ABIDE ICA,0.7476063829787235,0.6551724137931034,69.40862107276917,0.0009390170546783798,873011,None
28,Glacier,ABIDE ICA,0.7263297872340425,0.7011494252873564,73.98735022544861,0.0009382538411809112,873011,None
